peso,ganancia,edad,sexo,active,nombreGenetica,codigoConstruccion,tipoClima,codigoZonaGeografica,animal
0.31,0.043,10,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.358,0.048,11,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.409,0.051,12,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.463,0.054,13,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.521,0.058,14,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.582,0.061,15,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.645,0.063,16,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.711,0.066,17,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.779,0.068,18,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.849,0.07,19,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.921,0.072,20,Hembra,1,COBB500 - 2018,1,,-1,Poultry
0.995,0.074,21,Hembra,1,COBB500 - 2018,1,,-1,Poultry
1.071,0.076,22,Hembra,1,COBB500 - 2018,1,,-1,Poultry
1.148,0.077,23,Hembra,1,COBB500 - 2018,1,,-1,Poultry
1.227,0.079,24,Hembra,1,COBB500 - 2018,1,,-1,Poultry
1.307,0.08,25,Hembra,1,COBB500 - 2018,1,,-1,Poultry
